Symbol,Name,Sector,Industry
AAN,Aaron's Holdings,Consumer Discretionary,Specialty Stores
ACIW,ACI Worldwide Inc,Financials,Transaction & Payment Processing Services
AEIS,Advanced Energy Industries,Information Technology,Semiconductor Materials & Equipment
AGCO,AGCO Corp,Industrials,Agricultural & Farm Machinery
AIT,Applied Industrial Tech,Industrials,Trading Companies & Distributors
ALKS,Alkermes plc,Healthcare,Pharmaceuticals
AMED,Amedisys Inc,Healthcare,Health Care Services
AMKR,Amkor Technology,Information Technology,Semiconductor Materials & Equipment
AN,AutoNation Inc,Consumer Discretionary,Automotive Retail
ARMK,Aramark,Consumer Discretionary,Diversified Support Services
ATI,ATI Inc,Materials,Specialty Chemicals
AVNT,Avient Corp,Materials,Specialty Chemicals
AXS,AXIS Capital Holdings,Financials,Property & Casualty Insurance
AZPN,Aspen Technology,Information Technology,Application Software
BC,Brunswick Corp,Consumer Discretionary,Leisure Products
BCC,Boise Cascade Co,Materials,Forest Products
BJ,BJ's Wholesale Club,Consumer Staples,Consumer Staples Merchandise Retail
BRBR,BellRing Brands,Consumer Staples,Packaged Foods & Meats
BWXT,BWX Technologies,Industrials,Aerospace & Defense
CACI,CACI International,Industrials,Research & Consulting Services
CALM,Cal-Maine Foods,Consumer Staples,Packaged Foods & Meats
CBT,Cabot Corp,Materials,Specialty Chemicals
CC,Chemours Co,Materials,Specialty Chemicals
CHDN,Churchill Downs Inc,Consumer Discretionary,Casinos & Gaming
CHE,Chemed Corp,Healthcare,Health Care Services
CHH,Choice Hotels International,Consumer Discretionary,Hotels Resorts & Cruise Lines
CMA,Comerica Inc,Financials,Regional Banks
CMD,Cantel Medical Corp,Healthcare,Health Care Equipment & Supplies
CNM,Core & Main Inc,Industrials,Trading Companies & Distributors
CNX,CNX Resources Corp,Energy,Oil & Gas Exploration & Production
COLM,Columbia Sportswear,Consumer Discretionary,Apparel Accessories & Luxury Goods
CR,Crane Co,Industrials,Industrial Machinery & Supplies & Components
CRS,Carpenter Technology,Materials,Specialty Chemicals
