Symbol,Name,Sector,Industry
AAON,AAON Inc,Industrials,Building Products
ABUS,Arbutus Biopharma,Healthcare,Biotechnology
ACLS,Axcelis Technologies,Information Technology,Semiconductor Materials & Equipment
ADMA,ADMA Biologics Inc,Healthcare,Biotechnology
AGIO,Agios Pharmaceuticals,Healthcare,Biotechnology
AGX,Argan Inc,Industrials,Construction & Engineering
AIMC,Altra Industrial Motion,Industrials,Industrial Machinery & Supplies & Components
AIN,Albany International,Industrials,Aerospace & Defense
ALIT,Alight Inc,Industrials,Human Resource & Employment Services
ALK,Alaska Air Group,Industrials,Passenger Airlines
AMBA,Ambarella Inc,Information Technology,Semiconductors
AMPH,Amphastar Pharmaceuticals,Healthcare,Pharmaceuticals
ANDE,Andersons Inc,Consumer Staples,Agricultural Products & Services
APOG,Apogee Enterprises,Industrials,Building Products
ARLO,Arlo Technologies,Information Technology,Technology Hardware Storage & Peripherals
AROC,Archrock Inc,Energy,Oil & Gas Equipment & Services
AUB,Atlantic Union Bankshares,Financials,Regional Banks
AVAV,AeroVironment Inc,Industrials,Aerospace & Defense
AZZ,AZZ Inc,Industrials,Electrical Components & Equipment
BANF,BancFirst Corp,Financials,Regional Banks
BANR,Banner Financial Corp,Financials,Regional Banks
BCPC,Balchem Corp,Materials,Specialty Chemicals
BDC,Belden Inc,Information Technology,Electronic Components
BHE,Benchmark Electronics,Information Technology,Electronic Manufacturing Services
BJRI,BJ's Restaurants,Consumer Discretionary,Restaurants
BKE,Buckle Inc,Consumer Discretionary,Apparel Retail
BLKB,Blackbaud Inc,Information Technology,Application Software
BMBL,Bumble Inc,Communication Services,Interactive Media & Services
BMI,Badger Meter Inc,Industrials,Electronic Equipment & Instruments
BOOT,Boot Barn Holdings,Consumer Discretionary,Specialty Stores
BOX,Box Inc,Information Technology,Application Software
BRKR,Bruker Corp,Healthcare,Life Sciences Tools & Services
BRP,BRP Group Inc,Financials,Insurance Brokers
CAKE,Cheesecake Factory,Consumer Discretionary,Restaurants
CALX,Calix Inc,Information Technology,Communications Equipment
CARG,CarGurus Inc,Consumer Discretionary,Internet & Direct Marketing Retail
CATY,Cathay General Bancorp,Financials,Regional Banks
CCOI,Cogent Communications,Communication Services,Internet Services & Infrastructure
CENX,Century Aluminum,Materials,Aluminum
CEVA,CEVA Inc,Information Technology,Semiconductors
CGNX,Cognex Corp,Information Technology,Electronic Equipment & Instruments
CRC,California Resources,Energy,Oil & Gas Exploration & Production
CRGY,Crescent Energy Co,Energy,Oil & Gas Exploration & Production
CRUS,Cirrus Logic Inc,Information Technology,Semiconductors
CSR,Centerspace,Real Estate,Residential REITs
CSWI,CSW Industrials,Industrials,Industrial Machinery & Supplies & Components
CVCO,Cavco Industries,Consumer Discretionary,Homebuilding
CWST,Casella Waste Systems,Industrials,Environmental & Facilities Services
CXM,Sprinklr Inc,Information Technology,Application Software
CXT,Crane NXT Co,Industrials,Industrial Machinery & Supplies & Components
CYTK,Cytokinetics Inc,Healthcare,Biotechnology
DBRG,DigitalBridge Group,Financials,Asset Management & Custody Banks
DIOD,Diodes Inc,Information Technology,Semiconductors
DLX,Deluxe Corp,Industrials,Data Processing & Outsourced Services
DNLI,Denali Therapeutics,Healthcare,Biotechnology
DOCN,DigitalOcean Holdings,Information Technology,Internet Services & Infrastructure
DV,DoubleVerify Holdings,Information Technology,Application Software
ELAN,Elanco Animal Health,Healthcare,Pharmaceuticals
ELF,e.l.f. Beauty Inc,Consumer Staples,Personal Care Products
ENVA,Enova International,Financials,Consumer Finance
EPRT,Essential Properties,Real Estate,Diversified REITs
ETSY,Etsy Inc,Consumer Discretionary,Internet & Direct Marketing Retail
EXPO,Exponent Inc,Industrials,Research & Consulting Services
EZPW,EZCORP Inc,Financials,Specialized Finance
FIVE,Five Below Inc,Consumer Discretionary,Specialty Stores
FIZZ,National Beverage Corp,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
FIVN,Five9 Inc,Information Technology,Application Software
